subject,model,perturbation,seed,accuracy,f1
5,eegnet,channel_dropout_30pct,2,25.694444444444443,0.2413775754697727
5,eegnet,band_limited_5db,3,23.26388888888889,0.17632340777502067
5,eegnet,channel_dropout_30pct,3,25.0,0.23356609281569152
5,eegnet,band_limited_5db,4,27.083333333333332,0.2179232553497347
5,eegnet,channel_dropout_30pct,4,25.0,0.24642028277380162
5,hybrid_cfc,band_limited_5db,0,25.694444444444443,0.20573402727925338
5,hybrid_cfc,channel_dropout_30pct,0,24.65277777777778,0.18353768849764482
5,hybrid_cfc,band_limited_5db,1,24.305555555555554,0.19195195651191085
5,hybrid_cfc,channel_dropout_30pct,1,23.26388888888889,0.17714295397035787
5,hybrid_cfc,band_limited_5db,2,23.61111111111111,0.18098709961960416
5,hybrid_cfc,channel_dropout_30pct,2,25.0,0.19864216818149838
5,hybrid_cfc,band_limited_5db,3,20.833333333333336,0.1586161076736106
5,hybrid_cfc,channel_dropout_30pct,3,26.38888888888889,0.1957503172754578
5,hybrid_cfc,band_limited_5db,4,21.875,0.16552761595752524
5,hybrid_cfc,channel_dropout_30pct,4,23.958333333333336,0.16247516705797363
5,tiny_transformer,band_limited_5db,0,24.65277777777778,0.09916201117318436
5,tiny_transformer,channel_dropout_30pct,0,24.65277777777778,0.16404470741521546
5,tiny_transformer,band_limited_5db,1,25.0,0.10689568616201098
5,tiny_transformer,channel_dropout_30pct,1,27.77777777777778,0.19264069264069264
5,tiny_transformer,band_limited_5db,2,25.0,0.1005586592178771
5,tiny_transformer,channel_dropout_30pct,2,23.26388888888889,0.15626429388221844
5,tiny_transformer,band_limited_5db,3,24.65277777777778,0.10508505578928114
5,tiny_transformer,channel_dropout_30pct,3,26.041666666666668,0.18322952373588547
5,tiny_transformer,band_limited_5db,4,24.305555555555554,0.09776536312849161
5,tiny_transformer,channel_dropout_30pct,4,24.65277777777778,0.17880133185349611
5,cfc,band_limited_5db,0,29.51388888888889,0.2174762192924931
5,cfc,channel_dropout_30pct,0,27.430555555555557,0.24914418914418915
5,cfc,band_limited_5db,1,27.083333333333332,0.19423717521652234
5,cfc,channel_dropout_30pct,1,26.73611111111111,0.24760837546576275
5,cfc,band_limited_5db,2,26.73611111111111,0.19659370958208205
5,cfc,channel_dropout_30pct,2,27.77777777777778,0.25021317000651677
5,cfc,band_limited_5db,3,28.47222222222222,0.19084372242266978
5,cfc,channel_dropout_30pct,3,29.51388888888889,0.26672920575359604
5,cfc,band_limited_5db,4,29.166666666666668,0.20811247473798344
5,cfc,channel_dropout_30pct,4,28.819444444444443,0.25832783634623724
5,lstm,band_limited_5db,0,22.916666666666664,0.1975771168369991
5,lstm,channel_dropout_30pct,0,28.125,0.2515252976190476
5,lstm,band_limited_5db,1,27.083333333333332,0.24115824669517014
5,lstm,channel_dropout_30pct,1,27.430555555555557,0.24478778613266697
5,lstm,band_limited_5db,2,27.083333333333332,0.24118615996894435
5,lstm,channel_dropout_30pct,2,25.0,0.22282611902865068
5,lstm,band_limited_5db,3,25.0,0.22139757273901012
5,lstm,channel_dropout_30pct,3,24.305555555555554,0.2196236490309439
5,lstm,band_limited_5db,4,22.916666666666664,0.20518799217203398
5,lstm,channel_dropout_30pct,4,23.26388888888889,0.20081416969383772
6,shallow_convnet,band_limited_5db,0,43.05555555555556,0.4204273033035377
6,shallow_convnet,channel_dropout_30pct,0,32.98611111111111,0.3070216851095127
6,shallow_convnet,band_limited_5db,1,40.97222222222222,0.4005451241534682
6,shallow_convnet,channel_dropout_30pct,1,34.02777777777778,0.3217650773837386
6,shallow_convnet,band_limited_5db,2,41.31944444444444,0.4056441768904134
6,shallow_convnet,channel_dropout_30pct,2,33.68055555555556,0.3238412744980375
6,shallow_convnet,band_limited_5db,3,44.09722222222222,0.4353871517510049
6,shallow_convnet,channel_dropout_30pct,3,35.06944444444444,0.3233123194770278
6,shallow_convnet,band_limited_5db,4,42.36111111111111,0.4194227418024942
6,shallow_convnet,channel_dropout_30pct,4,37.84722222222222,0.35863441590994827
6,riemann_tslr,band_limited_5db,0,25.0,0.1
6,riemann_tslr,channel_dropout_30pct,0,26.38888888888889,0.2292943531657124
6,riemann_tslr,band_limited_5db,1,25.0,0.1
6,riemann_tslr,channel_dropout_30pct,1,26.041666666666668,0.24177296326369924
6,riemann_tslr,band_limited_5db,2,25.0,0.1
6,riemann_tslr,channel_dropout_30pct,2,20.833333333333336,0.18299032838506524
6,riemann_tslr,band_limited_5db,3,25.0,0.1
6,riemann_tslr,channel_dropout_30pct,3,21.52777777777778,0.19697638609443413
6,riemann_tslr,band_limited_5db,4,25.0,0.1
6,riemann_tslr,channel_dropout_30pct,4,25.694444444444443,0.22445254191333147
6,eegnet,band_limited_5db,0,24.65277777777778,0.12761854583772392
6,eegnet,channel_dropout_30pct,0,30.208333333333332,0.2944726621438448
6,eegnet,band_limited_5db,1,24.65277777777778,0.12624442096322827
6,eegnet,channel_dropout_30pct,1,26.38888888888889,0.25636133209489703
6,eegnet,band_limited_5db,2,24.65277777777778,0.12866590385353988
6,eegnet,channel_dropout_30pct,2,30.90277777777778,0.3033588140083648
6,eegnet,band_limited_5db,3,26.041666666666668,0.13484185214871447
6,eegnet,channel_dropout_30pct,3,28.47222222222222,0.27862003713999045
6,eegnet,band_limited_5db,4,25.694444444444443,0.13176187419768934
6,eegnet,channel_dropout_30pct,4,32.98611111111111,0.32455181954471296
6,hybrid_cfc,band_limited_5db,0,27.430555555555557,0.24149911816578482
6,hybrid_cfc,channel_dropout_30pct,0,28.47222222222222,0.2650759438654978
6,hybrid_cfc,band_limited_5db,1,27.430555555555557,0.2353474805940008
6,hybrid_cfc,channel_dropout_30pct,1,29.51388888888889,0.2735830762765017
6,hybrid_cfc,band_limited_5db,2,28.125,0.23999500823001385
6,hybrid_cfc,channel_dropout_30pct,2,27.430555555555557,0.24901341176836989
