subject,model,perturbation_type,level,accuracy,f1
5,eegnet,channel_dropout,0.1,27.22222222222222,0.26521711548101395
6,eegnet,channel_dropout,0.1,37.01388888888889,0.3354317021710262
7,eegnet,channel_dropout,0.1,34.93055555555556,0.28343987159183626
8,eegnet,channel_dropout,0.1,51.38888888888889,0.5108465423019327
9,eegnet,channel_dropout,0.1,59.652777777777786,0.5588985293720514
1,gru,channel_dropout,0.1,50.06944444444444,0.4942018006867167
2,gru,channel_dropout,0.1,24.65277777777778,0.239191319183524
3,gru,channel_dropout,0.1,47.77777777777778,0.47734672972862213
4,gru,channel_dropout,0.1,36.11111111111111,0.3542571660299339
5,gru,channel_dropout,0.1,28.055555555555554,0.24479683370940114
6,gru,channel_dropout,0.1,34.72222222222222,0.32112028870115095
7,gru,channel_dropout,0.1,35.625,0.32395477937791484
8,gru,channel_dropout,0.1,45.83333333333333,0.43157495585100686
9,gru,channel_dropout,0.1,52.5,0.4790215050040727
1,lstm,channel_dropout,0.1,48.88888888888889,0.4890389053248018
2,lstm,channel_dropout,0.1,25.0,0.24760604450726462
3,lstm,channel_dropout,0.1,47.63888888888889,0.463762907539215
4,lstm,channel_dropout,0.1,36.11111111111111,0.2782331804638893
5,lstm,channel_dropout,0.1,24.305555555555554,0.23008190363963568
6,lstm,channel_dropout,0.1,25.27777777777778,0.15191554757972484
7,lstm,channel_dropout,0.1,34.02777777777778,0.278900023647385
8,lstm,channel_dropout,0.1,48.40277777777778,0.46927550692940434
9,lstm,channel_dropout,0.1,37.29166666666667,0.3660072869215341
1,riemann_tslr,channel_dropout,0.1,36.80555555555556,0.29709770677826686
2,riemann_tslr,channel_dropout,0.1,27.638888888888893,0.1884943352129881
3,riemann_tslr,channel_dropout,0.1,41.31944444444444,0.38829125929005376
4,riemann_tslr,channel_dropout,0.1,30.694444444444446,0.2670699352399766
5,riemann_tslr,channel_dropout,0.1,28.055555555555554,0.23476118817555083
6,riemann_tslr,channel_dropout,0.1,30.694444444444446,0.30239682260596823
7,riemann_tslr,channel_dropout,0.1,28.47222222222222,0.1874565044351805
8,riemann_tslr,channel_dropout,0.1,32.29166666666667,0.23495701361450752
9,riemann_tslr,channel_dropout,0.1,34.72222222222222,0.327769893856915
1,shallow_convnet,channel_dropout,0.1,63.125,0.6210727384542236
2,shallow_convnet,channel_dropout,0.1,34.72222222222222,0.28344556055369086
3,shallow_convnet,channel_dropout,0.1,68.61111111111111,0.6615687306308025
4,shallow_convnet,channel_dropout,0.1,45.20833333333333,0.44956555012115473
5,shallow_convnet,channel_dropout,0.1,26.458333333333332,0.24086281403593185
6,shallow_convnet,channel_dropout,0.1,42.01388888888889,0.41179827723682705
7,shallow_convnet,channel_dropout,0.1,49.02777777777778,0.4493115283170863
8,shallow_convnet,channel_dropout,0.1,62.84722222222223,0.6270475325514236
9,shallow_convnet,channel_dropout,0.1,65.27777777777779,0.6589129920564122
1,cfc,channel_dropout,0.3,43.333333333333336,0.43006660843227723
2,cfc,channel_dropout,0.3,26.666666666666668,0.2507034775645442
3,cfc,channel_dropout,0.3,41.59722222222222,0.38135714759321215
4,cfc,channel_dropout,0.3,32.01388888888889,0.29338855489940574
5,cfc,channel_dropout,0.3,24.86111111111111,0.24050225141250645
6,cfc,channel_dropout,0.3,26.944444444444446,0.18550416676865863
7,cfc,channel_dropout,0.3,32.291666666666664,0.28984286580217683
8,cfc,channel_dropout,0.3,38.611111111111114,0.35079423584639957
9,cfc,channel_dropout,0.3,51.875,0.49789479404816683
1,eegnet,channel_dropout,0.3,47.08333333333333,0.45469182213065407
2,eegnet,channel_dropout,0.3,27.77777777777778,0.1894390336937322
3,eegnet,channel_dropout,0.3,46.388888888888886,0.4154714403997121
4,eegnet,channel_dropout,0.3,32.5,0.3043943383740856
5,eegnet,channel_dropout,0.3,23.333333333333336,0.21280093880796563
6,eegnet,channel_dropout,0.3,31.59722222222222,0.27032261388217466
7,eegnet,channel_dropout,0.3,34.58333333333333,0.30019256022714
8,eegnet,channel_dropout,0.3,35.69444444444444,0.3478269624138278
9,eegnet,channel_dropout,0.3,52.98611111111111,0.4886433811287768
1,gru,channel_dropout,0.3,34.93055555555556,0.3049292237136627
