subject,model,condition,shuffle_seed,accuracy,f1
7,lstm,clean,-1,35.41666666666667,0.3005197041376115
7,lstm,temporal_shuffle,0,28.125,0.17453619909502263
7,lstm,temporal_shuffle,1,28.47222222222222,0.18921851137368378
7,lstm,temporal_shuffle,2,29.51388888888889,0.20597865889522593
7,lstm,temporal_shuffle,3,27.77777777777778,0.18067575881870385
7,lstm,temporal_shuffle,4,28.125,0.19313765510028735
8,shallow_convnet,clean,-1,72.56944444444444,0.7220917854321215
8,shallow_convnet,temporal_shuffle,0,39.58333333333333,0.3409763298516747
8,shallow_convnet,temporal_shuffle,1,39.23611111111111,0.34123751332535246
8,shallow_convnet,temporal_shuffle,2,40.97222222222222,0.36446474275305774
8,shallow_convnet,temporal_shuffle,3,39.93055555555556,0.35132443028669447
8,shallow_convnet,temporal_shuffle,4,39.93055555555556,0.33926132984103996
8,riemann_tslr,clean,-1,67.70833333333334,0.6825532515220996
8,riemann_tslr,temporal_shuffle,0,67.70833333333334,0.6825532515220996
8,riemann_tslr,temporal_shuffle,1,67.70833333333334,0.6825532515220996
8,riemann_tslr,temporal_shuffle,2,67.70833333333334,0.6825532515220996
8,riemann_tslr,temporal_shuffle,3,67.70833333333334,0.6825532515220996
8,riemann_tslr,temporal_shuffle,4,67.70833333333334,0.6825532515220996
8,eegnet,clean,-1,60.416666666666664,0.5789317058994479
8,eegnet,temporal_shuffle,0,41.66666666666667,0.335050578613999
8,eegnet,temporal_shuffle,1,39.23611111111111,0.31144824901997636
8,eegnet,temporal_shuffle,2,39.58333333333333,0.32118400157711025
8,eegnet,temporal_shuffle,3,42.36111111111111,0.34333293518076125
8,eegnet,temporal_shuffle,4,41.66666666666667,0.33698042275500073
8,cfc,clean,-1,57.291666666666664,0.5703129404889671
8,cfc,temporal_shuffle,0,40.27777777777778,0.31574623958555226
8,cfc,temporal_shuffle,1,41.31944444444444,0.3300290220690787
8,cfc,temporal_shuffle,2,39.23611111111111,0.3105389989442875
8,cfc,temporal_shuffle,3,43.05555555555556,0.3552287999139051
8,cfc,temporal_shuffle,4,38.54166666666667,0.3010109516856725
8,lstm,clean,-1,38.54166666666667,0.3501493827847548
8,lstm,temporal_shuffle,0,26.38888888888889,0.1636108809047921
8,lstm,temporal_shuffle,1,24.65277777777778,0.15664804997361104
8,lstm,temporal_shuffle,2,28.819444444444443,0.1808143392140227
8,lstm,temporal_shuffle,3,27.083333333333332,0.17574410492290207
8,lstm,temporal_shuffle,4,24.65277777777778,0.1512244679176005
9,shallow_convnet,clean,-1,75.69444444444444,0.7524231694104591
9,shallow_convnet,temporal_shuffle,0,43.75,0.4132087571866932
9,shallow_convnet,temporal_shuffle,1,45.83333333333333,0.4205991809954604
9,shallow_convnet,temporal_shuffle,2,46.875,0.4332535209920012
9,shallow_convnet,temporal_shuffle,3,45.48611111111111,0.42045687415910343
9,shallow_convnet,temporal_shuffle,4,47.22222222222222,0.4298279991687607
9,riemann_tslr,clean,-1,69.09722222222221,0.6896139820516677
9,riemann_tslr,temporal_shuffle,0,69.09722222222221,0.6896139820516677
9,riemann_tslr,temporal_shuffle,1,69.09722222222221,0.6896139820516677
9,riemann_tslr,temporal_shuffle,2,69.09722222222221,0.6896139820516677
9,riemann_tslr,temporal_shuffle,3,69.09722222222221,0.6896139820516677
9,riemann_tslr,temporal_shuffle,4,69.09722222222221,0.6896139820516677
9,eegnet,clean,-1,61.80555555555556,0.5752580730098681
9,eegnet,temporal_shuffle,0,43.05555555555556,0.3643351681431152
9,eegnet,temporal_shuffle,1,46.18055555555556,0.40384119489356285
9,eegnet,temporal_shuffle,2,46.52777777777778,0.42208608433902167
9,eegnet,temporal_shuffle,3,46.18055555555556,0.39879173261195733
9,eegnet,temporal_shuffle,4,44.79166666666667,0.38823603628782016
9,cfc,clean,-1,59.375,0.5615392488567543
9,cfc,temporal_shuffle,0,56.25,0.4978887731026739
