subject,model,perturbation_type,level,seed,accuracy,f1
1,gru,channel_dropout,0.3,4,36.80555555555556,0.324685464144175
1,gru,channel_dropout,0.5,4,26.38888888888889,0.13500368912936547
1,lstm,band_limited_noise,20.0,0,48.26388888888889,0.4797391283436282
1,lstm,band_limited_noise,10.0,0,45.48611111111111,0.4465227722659174
1,lstm,band_limited_noise,5.0,0,46.52777777777778,0.4498606505596512
1,lstm,band_limited_noise,0.0,0,36.11111111111111,0.3050903170499129
1,lstm,channel_dropout,0.1,0,52.43055555555556,0.5238672207790924
1,lstm,channel_dropout,0.3,0,38.88888888888889,0.3651705171934213
1,lstm,channel_dropout,0.5,0,29.166666666666668,0.19608168548808236
1,lstm,band_limited_noise,20.0,1,48.95833333333333,0.48519675278485647
1,lstm,band_limited_noise,10.0,1,46.18055555555556,0.4522524932598687
1,lstm,band_limited_noise,5.0,1,46.52777777777778,0.444015286711376
1,lstm,band_limited_noise,0.0,1,36.11111111111111,0.31097215852078125
1,lstm,channel_dropout,0.1,1,48.61111111111111,0.4874557041281622
1,lstm,channel_dropout,0.3,1,38.19444444444444,0.3597589836537045
1,lstm,channel_dropout,0.5,1,31.25,0.23920500475866216
1,lstm,band_limited_noise,20.0,2,48.95833333333333,0.4847575757575758
1,lstm,band_limited_noise,10.0,2,47.56944444444444,0.4715034468775345
1,lstm,band_limited_noise,5.0,2,47.22222222222222,0.4482356444950175
1,lstm,band_limited_noise,0.0,2,32.98611111111111,0.2740756835894992
1,lstm,channel_dropout,0.1,2,49.30555555555556,0.4923751275956977
1,lstm,channel_dropout,0.3,2,38.19444444444444,0.3505761005295357
1,lstm,channel_dropout,0.5,2,31.25,0.23618766296285826
1,lstm,band_limited_noise,20.0,3,50.0,0.49586427787583853
1,lstm,band_limited_noise,10.0,3,51.736111111111114,0.5126232310597485
1,lstm,band_limited_noise,5.0,3,47.22222222222222,0.4540250142163282
1,lstm,band_limited_noise,0.0,3,37.15277777777778,0.31127897936104043
1,lstm,channel_dropout,0.1,3,47.91666666666667,0.4778324172266155
1,lstm,channel_dropout,0.3,3,35.06944444444444,0.32508009346244643
1,lstm,channel_dropout,0.5,3,29.166666666666668,0.20906690826903593
1,lstm,band_limited_noise,20.0,4,49.30555555555556,0.4892892373148213
1,lstm,band_limited_noise,10.0,4,47.56944444444444,0.46691817310478567
1,lstm,band_limited_noise,5.0,4,45.48611111111111,0.4397383078870879
1,lstm,band_limited_noise,0.0,4,38.54166666666667,0.3280594600624721
1,lstm,channel_dropout,0.1,4,46.18055555555556,0.46366405689444135
1,lstm,channel_dropout,0.3,4,38.54166666666667,0.36383834942666254
1,lstm,channel_dropout,0.5,4,31.25,0.2272788060682504
2,shallow_convnet,band_limited_noise,20.0,0,44.79166666666667,0.3957899756044791
2,shallow_convnet,band_limited_noise,10.0,0,27.083333333333332,0.14235818235818234
2,shallow_convnet,band_limited_noise,5.0,0,25.0,0.1
2,shallow_convnet,band_limited_noise,0.0,0,25.0,0.1
2,shallow_convnet,channel_dropout,0.1,0,33.68055555555556,0.2657084049002411
2,shallow_convnet,channel_dropout,0.3,0,28.819444444444443,0.17879909107945208
2,shallow_convnet,channel_dropout,0.5,0,28.819444444444443,0.18218434836358904
2,shallow_convnet,band_limited_noise,20.0,1,45.83333333333333,0.4105137487432954
2,shallow_convnet,band_limited_noise,10.0,1,27.083333333333332,0.14265485138317507
2,shallow_convnet,band_limited_noise,5.0,1,25.0,0.1
2,shallow_convnet,band_limited_noise,0.0,1,25.0,0.1
2,shallow_convnet,channel_dropout,0.1,1,35.06944444444444,0.2854882290491721
2,shallow_convnet,channel_dropout,0.3,1,26.73611111111111,0.176417069992554
2,shallow_convnet,channel_dropout,0.5,1,26.041666666666668,0.1543698373083514
2,shallow_convnet,band_limited_noise,20.0,2,44.09722222222222,0.38928949057815043
2,shallow_convnet,band_limited_noise,10.0,2,27.430555555555557,0.14959280147901993
2,shallow_convnet,band_limited_noise,5.0,2,25.0,0.1
2,shallow_convnet,band_limited_noise,0.0,2,25.0,0.1
2,shallow_convnet,channel_dropout,0.1,2,35.06944444444444,0.2862012544521175
2,shallow_convnet,channel_dropout,0.3,2,29.51388888888889,0.19271911966255506
2,shallow_convnet,channel_dropout,0.5,2,27.77777777777778,0.17137653175880677
2,shallow_convnet,band_limited_noise,20.0,3,43.40277777777778,0.3759920634920635
2,shallow_convnet,band_limited_noise,10.0,3,27.083333333333332,0.14213920423633528
2,shallow_convnet,band_limited_noise,5.0,3,25.0,0.1
2,shallow_convnet,band_limited_noise,0.0,3,25.0,0.1
2,shallow_convnet,channel_dropout,0.1,3,36.11111111111111,0.30352192134107026
2,shallow_convnet,channel_dropout,0.3,3,27.083333333333332,0.15811480186480187
2,shallow_convnet,channel_dropout,0.5,3,25.34722222222222,0.15644649257552484
2,shallow_convnet,band_limited_noise,20.0,4,44.44444444444444,0.39188998136366554
2,shallow_convnet,band_limited_noise,10.0,4,26.73611111111111,0.13613887545119638
2,shallow_convnet,band_limited_noise,5.0,4,25.0,0.1
2,shallow_convnet,band_limited_noise,0.0,4,25.0,0.1
2,shallow_convnet,channel_dropout,0.1,4,33.68055555555556,0.2763079930258534
2,shallow_convnet,channel_dropout,0.3,4,27.083333333333332,0.15762767834689717
2,shallow_convnet,channel_dropout,0.5,4,26.041666666666668,0.15785071442188703
2,riemann_tslr,band_limited_noise,20.0,0,46.875,0.41869856630574476
2,riemann_tslr,band_limited_noise,10.0,0,27.083333333333332,0.15115536986053485
2,riemann_tslr,band_limited_noise,5.0,0,25.0,0.1
2,riemann_tslr,band_limited_noise,0.0,0,25.0,0.1
2,riemann_tslr,channel_dropout,0.1,0,27.083333333333332,0.18752592315604238
2,riemann_tslr,channel_dropout,0.3,0,25.694444444444443,0.21135150243228482
2,riemann_tslr,channel_dropout,0.5,0,26.73611111111111,0.24942925286691658
2,riemann_tslr,band_limited_noise,20.0,1,43.40277777777778,0.38519900836281395
2,riemann_tslr,band_limited_noise,10.0,1,28.125,0.15910611113265347
2,riemann_tslr,band_limited_noise,5.0,1,25.0,0.1005586592178771
2,riemann_tslr,band_limited_noise,0.0,1,25.0,0.1
2,riemann_tslr,channel_dropout,0.1,1,30.208333333333332,0.21054426853030442
2,riemann_tslr,channel_dropout,0.3,1,22.916666666666664,0.17387462384687485
2,riemann_tslr,channel_dropout,0.5,1,26.73611111111111,0.24814554689917703
2,riemann_tslr,band_limited_noise,20.0,2,44.09722222222222,0.3980361259298262
2,riemann_tslr,band_limited_noise,10.0,2,28.819444444444443,0.17480925033795125
2,riemann_tslr,band_limited_noise,5.0,2,25.0,0.1
2,riemann_tslr,band_limited_noise,0.0,2,25.0,0.1
2,riemann_tslr,channel_dropout,0.1,2,28.125,0.18449856786816948
2,riemann_tslr,channel_dropout,0.3,2,24.65277777777778,0.2008566141580143
2,riemann_tslr,channel_dropout,0.5,2,26.38888888888889,0.24020439803694685
2,riemann_tslr,band_limited_noise,20.0,3,40.97222222222222,0.3594013263809009
2,riemann_tslr,band_limited_noise,10.0,3,29.51388888888889,0.1776454127083058
2,riemann_tslr,band_limited_noise,5.0,3,25.0,0.1
2,riemann_tslr,band_limited_noise,0.0,3,25.0,0.1
2,riemann_tslr,channel_dropout,0.1,3,25.34722222222222,0.1682435478708576
2,riemann_tslr,channel_dropout,0.3,3,25.0,0.19183636137286936
2,riemann_tslr,channel_dropout,0.5,3,23.26388888888889,0.21360794493061935
2,riemann_tslr,band_limited_noise,20.0,4,43.75,0.39337087756232864
2,riemann_tslr,band_limited_noise,10.0,4,27.430555555555557,0.1485078466683818
2,riemann_tslr,band_limited_noise,5.0,4,25.0,0.10027855153203342
2,riemann_tslr,band_limited_noise,0.0,4,25.0,0.1
2,riemann_tslr,channel_dropout,0.1,4,27.430555555555557,0.19165936863956667
2,riemann_tslr,channel_dropout,0.3,4,24.65277777777778,0.22012009360236656
2,riemann_tslr,channel_dropout,0.5,4,32.63888888888889,0.29444206984841476
2,eegnet,band_limited_noise,20.0,0,38.88888888888889,0.34683129909132915
2,eegnet,band_limited_noise,10.0,0,25.0,0.1
2,eegnet,band_limited_noise,5.0,0,25.0,0.1
2,eegnet,band_limited_noise,0.0,0,25.0,0.1
2,eegnet,channel_dropout,0.1,0,29.86111111111111,0.2321267886396759
2,eegnet,channel_dropout,0.3,0,27.430555555555557,0.18461354991142645
2,eegnet,channel_dropout,0.5,0,24.305555555555554,0.15470006184291898
2,eegnet,band_limited_noise,20.0,1,42.36111111111111,0.38603616197722873
2,eegnet,band_limited_noise,10.0,1,25.0,0.1
2,eegnet,band_limited_noise,5.0,1,25.0,0.1
2,eegnet,band_limited_noise,0.0,1,25.0,0.1
2,eegnet,channel_dropout,0.1,1,29.51388888888889,0.20844966904329154
2,eegnet,channel_dropout,0.3,1,27.430555555555557,0.17980646804176217
2,eegnet,channel_dropout,0.5,1,26.73611111111111,0.18402048975512245
2,eegnet,band_limited_noise,20.0,2,41.31944444444444,0.3836724392505945
2,eegnet,band_limited_noise,10.0,2,25.0,0.10027855153203342
2,eegnet,band_limited_noise,5.0,2,25.0,0.1
2,eegnet,band_limited_noise,0.0,2,25.0,0.1
2,eegnet,channel_dropout,0.1,2,28.125,0.19566095317144364
2,eegnet,channel_dropout,0.3,2,27.430555555555557,0.18492773927285241
2,eegnet,channel_dropout,0.5,2,27.430555555555557,0.18197512942307884
2,eegnet,band_limited_noise,20.0,3,42.01388888888889,0.37758529012700315
2,eegnet,band_limited_noise,10.0,3,25.34722222222222,0.10731541597463386
2,eegnet,band_limited_noise,5.0,3,25.0,0.1
2,eegnet,band_limited_noise,0.0,3,25.0,0.1
2,eegnet,channel_dropout,0.1,3,32.29166666666667,0.23799036391341094
2,eegnet,channel_dropout,0.3,3,30.208333333333332,0.21469669835147176
2,eegnet,channel_dropout,0.5,3,28.125,0.21589451635613363
2,eegnet,band_limited_noise,20.0,4,39.23611111111111,0.35235623180452347
2,eegnet,band_limited_noise,10.0,4,25.0,0.10027855153203342
2,eegnet,band_limited_noise,5.0,4,25.0,0.1
2,eegnet,band_limited_noise,0.0,4,25.0,0.1
2,eegnet,channel_dropout,0.1,4,28.125,0.20130153418071528
2,eegnet,channel_dropout,0.3,4,26.38888888888889,0.1831507128911481
2,eegnet,channel_dropout,0.5,4,23.26388888888889,0.12965859562970852
2,cfc,band_limited_noise,20.0,0,32.63888888888889,0.29576764623026985
2,cfc,band_limited_noise,10.0,0,28.819444444444443,0.22417639689496802
2,cfc,band_limited_noise,5.0,0,25.0,0.10112359550561797
2,cfc,band_limited_noise,0.0,0,25.0,0.1
2,cfc,channel_dropout,0.1,0,31.25,0.29773447993893226
2,cfc,channel_dropout,0.3,0,24.65277777777778,0.22720674224461482
2,cfc,channel_dropout,0.5,0,25.34722222222222,0.2329231691375328
2,cfc,band_limited_noise,20.0,1,32.98611111111111,0.2915754789695557
2,cfc,band_limited_noise,10.0,1,27.083333333333332,0.1927915298138802
2,cfc,band_limited_noise,5.0,1,26.041666666666668,0.12149854079431545
2,cfc,band_limited_noise,0.0,1,25.0,0.1
2,cfc,channel_dropout,0.1,1,28.125,0.2655106369259681
2,cfc,channel_dropout,0.3,1,29.166666666666668,0.27333652538109515
2,cfc,channel_dropout,0.5,1,25.0,0.22411308060464158
2,cfc,band_limited_noise,20.0,2,31.944444444444443,0.2907404178836973
2,cfc,band_limited_noise,10.0,2,29.86111111111111,0.22529315580602163
2,cfc,band_limited_noise,5.0,2,25.0,0.10629804849201654
2,cfc,band_limited_noise,0.0,2,25.0,0.1
2,cfc,channel_dropout,0.1,2,31.944444444444443,0.294213829386312
2,cfc,channel_dropout,0.3,2,27.430555555555557,0.25694305694305697
2,cfc,channel_dropout,0.5,2,30.555555555555557,0.2774286939116252
2,cfc,band_limited_noise,20.0,3,30.555555555555557,0.2756576955050338
